Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly)
 11/08  12:00:00,14.4,20.78272001,21.02765004,21.00515935,21.0211405,21.11959086
 11/08  13:00:00,14.4,20.86210594,21.12966679,21.09886517,21.12526377,21.18849749
 11/08  14:00:00,13.7125,20.88498197,21.15575174,21.11510528,21.15438734,21.24657819
 11/08  15:00:00,13.3,20.86241141,21.11187368,21.06624797,21.11609284,21.28649609
 11/08  16:00:00,13.3,20.87677465,21.0941072,21.046895,21.10630605,21.31195736
 11/08  17:00:00,13.3,20.75178121,20.89852741,20.84000698,20.90423891,21.31684429
 11/08  18:00:00,13.3,20.64762597,20.73085461,20.6781781,20.73311678,21.29068805
 11/08  19:00:00,13.3,20.57875456,20.62516351,20.58215774,20.62710587,21.25447311
 11/08  20:00:00,13.3,20.51041027,20.53978611,20.50337076,20.5414404,21.21730436
 11/08  21:00:00,13.3,20.44810294,20.47233435,20.43917589,20.47254214,21.18162828
 11/08  22:00:00,13.3,20.41755803,20.43161831,20.40254443,20.43180538,21.15109436
 11/08  23:00:00,13.3,20.39371001,20.40178922,20.3754366,20.40199571,21.12660899
 11/08  24:00:00,12.9875,20.37035175,20.37147501,20.34764069,20.37377591,21.10621336
 11/09  01:00:00,13.1125,20.37169334,20.36396135,20.34617071,20.36303775,21.08900335
 11/09  02:00:00,12.6125,20.34939437,20.34128369,20.32548651,20.34123517,21.07371433
 11/09  03:00:00,12.2,20.29830492,20.29872846,20.27998482,20.29735754,21.05624394
 11/09  04:00:00,12.2,20.26430277,20.26498718,20.2442723,20.26043107,21.03651366
 11/09  05:00:00,12.2,20.24266479,20.23942292,20.21560713,20.23424264,21.01758284
 11/09  06:00:00,12.2,20.22994316,20.22460852,20.20768189,20.22119312,21.00178487
 11/09  07:00:00,12.2,20.22739194,20.26883695,20.21247262,20.2204263,20.98891536
 11/09  08:00:00,12.575,20.34237506,21.04061451,20.39873336,20.37252184,20.99475755
 11/09  09:00:00,13.1125,20.55745523,21.41290702,20.70120707,20.67130219,21.04192326
 11/09  10:00:00,13.9875,20.68956643,21.30750266,20.87550655,20.85442584,21.10195846
 11/09  11:00:00,14.775,20.91998033,21.47476834,21.18975904,21.16443673,21.17277636
