Date/Time,Outside temperature,WEST ZONE:Zone Operative Temperature [C](Hourly),EAST ZONE:Zone Operative Temperature [C](Hourly),West zone heating power,East zone heating power,WEST ZONE:Zone Air System Sensible Heating Rate [W](Hourly),EAST ZONE:Zone Air System Sensible Heating Rate [W](Hourly),WEST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly)
 01/02  24:00:00,8.9,18.12808003,18.16323151,165.9687223,187.6633331,333.1450775,363.3755684,167.1763551,175.7122353
 01/03  01:00:00,9.4,18.15246139,18.18008469,131.8978515,149.2621135,317.2478489,346.7337525,185.3499974,197.471639
 01/03  02:00:00,10,18.17620395,18.19890051,104.0773574,116.6760417,291.0221461,317.4296768,186.9447887,200.7536351
 01/03  03:00:00,12.2,18.12192428,18.13971179,115.9069219,128.4910695,295.7510916,322.5182825,179.8441696,194.027213
 01/03  04:00:00,13.9,18.21667089,18.23445959,101.4817764,111.7722533,284.8850284,310.39925,183.4032519,198.6269967
 01/03  05:00:00,12.8,18.22754324,18.24463396,92.78975016,101.4686803,267.5995501,291.0101863,174.8097999,189.5415061
 01/03  06:00:00,12.2,18.20842788,18.22490736,107.6144228,117.25985,274.7801609,298.501839,167.165738,181.241989
 01/03  07:00:00,11.1,18.15677031,18.17216901,125.4059577,136.7533421,292.8117964,318.2926773,167.4058387,181.5393352
 01/03  08:00:00,11.1,18.10251406,18.11683865,132.736755,144.865851,306.2266132,333.1980289,173.4898582,188.3321778
 01/03  09:00:00,11.7,18.14861013,18.16470152,112.4593109,122.2609134,294.3137334,319.9392127,181.8544224,197.6782993
 01/03  10:00:00,13.3,18.40355905,18.42992739,50.4458014,52.56023339,230.8323698,248.6891371,180.3865684,196.1289037
 01/03  11:00:00,12.2,18.59372405,18.63766217,27.94094484,24.66282549,178.5661106,187.5255425,150.6251657,162.8627171
 01/03  12:00:00,15,18.92172928,18.99693069,13.08670525,3.224368896,136.9654081,135.1806603,123.8787028,131.9562914
 01/03  13:00:00,15.6,19.21378962,19.32296743,27.66491815,19.92522727,105.628439,96.69662602,77.9635208,76.77139875
 01/03  14:00:00,16.1,19.58491276,19.73773666,6.518253241,-12.75485977,36.41405395,13.18337342,29.89580071,25.93823319
 01/03  15:00:00,16.1,19.60444539,19.78285712,47.54134304,20.9116671,47.54134304,20.9116671,0,0
 01/03  16:00:00,13.9,19.48866113,19.67317466,87.8245992,66.81182792,87.8245992,66.81182792,0,0
 01/03  17:00:00,13.9,19.17131068,19.34007035,170.2306867,163.880884,170.2306867,163.880884,0,0
 01/03  18:00:00,12.8,19.10956391,19.26128664,188.7740828,214.5462965,209.5207858,214.5462965,20.74670307,0
 01/03  19:00:00,12.2,19.01719524,19.14207445,156.9818516,183.042483,203.5929552,210.409336,46.61110353,27.36685296
 01/03  20:00:00,10.6,18.86631739,18.96459297,161.2723255,188.2486636,219.7888523,232.8309995,58.51652673,44.58233588
 01/03  21:00:00,10,18.8427009,18.92228875,149.8637938,174.3174146,227.4606683,243.5543413,77.59687448,69.23692672
 01/03  22:00:00,8.9,18.67302655,18.73294279,159.2406634,182.7851817,244.6944472,263.7685557,85.45378381,80.98337407
 01/03  23:00:00,8.9,18.663711,18.71180308,147.1837084,167.75581,250.7994395,271.5768765,103.6157311,103.8210666
 01/03  24:00:00,8.9,18.6319962,18.67018255,127.5051726,144.3566065,239.2024415,259.4471475,111.697269,115.090541
 01/04  01:00:00,8.3,18.44027091,18.46759788,157.0478718,176.1546534,269.9474821,293.7346793,112.8996103,117.5800259
 01/04  02:00:00,7.8,18.27049294,18.28931907,189.7032651,210.5984378,321.724963,350.9013614,132.0216979,140.3029236
 01/04  03:00:00,8.3,18.24913961,18.26384664,158.0356371,174.902427,319.3813654,349.1572345,161.3457283,174.2548075
 01/04  04:00:00,6.1,17.98897453,17.9952328,175.4686097,193.8400672,344.3149872,377.1281124,168.8463775,183.2880452
 01/04  05:00:00,4.4,17.87693034,17.87956195,186.2122341,205.084137,382.1251043,418.9131248,195.9128702,213.8289878
 01/04  06:00:00,6.1,17.7106697,17.70844329,180.0264098,198.0322401,400.8842616,440.0870029,220.8578518,242.0547629
 01/04  07:00:00,5,17.54885529,17.54280939,179.6226552,197.1698694,423.1195093,464.8519234,243.4968541,267.682054
 01/04  08:00:00,6.7,17.51877272,17.51280941,151.7501528,165.9002081,420.4268471,461.869356,268.6766942,295.9691479
 01/04  09:00:00,8.3,17.65908971,17.65839135,88.26585366,94.99214694,366.8932439,402.1865271,278.6273902,307.1943802
 01/04  10:00:00,8.9,17.78808075,17.79480414,55.18727594,57.30405487,315.0861245,343.4774168,259.8988485,286.173362
 01/04  11:00:00,8.9,17.99076892,18.01106313,39.25585367,38.02078635,274.8063894,296.4867852,235.5505357,258.4659989
