Date/Time,Outside tempertaure,WEST ZONE:Zone Operative Temperature [C](Hourly),EAST ZONE:Zone Operative Temperature [C](Hourly),WEST ZONE:Zone Lights Total Heating Rate [W](Hourly),EAST ZONE:Zone Lights Total Heating Rate [W](Hourly),West Zone:total power (Electric Machine (such as CPU) genearated power-air system cooling),East Zone:total power (genearated power-air system cooling),WESTDATACENTER_EQUIP:ITE Total Heat Gain to Zone Rate [W](Hourly),EAST ZONE:Zone ITE Total Heat Gain to Zone Rate [W](Hourly),WEST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),EAST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly)
 02/23  22:00:00,9.4,22.74720245,22.06305172,14.2,14.2,-139.8984602,-1300.154409,49763.57914,53499.47207,47298.94813,51135.84265,2604.529467,3663.783825
 02/23  23:00:00,9.2,22.80126706,22.02910104,14.2,14.2,89.04037019,-1100.923397,50136.09437,51820.53642,47509.38748,49454.6443,2537.666515,3466.815516
 02/23  24:00:00,9.1,22.84692428,22.00304877,14.2,14.2,185.7171543,-1039.499478,50330.98438,51765.46324,47634.70629,49336.57677,2510.560944,3468.385949
 02/24  01:00:00,8.9,22.38504538,21.96338485,14.2,14.2,-736.2251469,345.6079907,35858.26449,36407.65214,34561.23003,33988.28793,2033.259609,2073.756216
 02/24  02:00:00,8.3,22.13140877,21.9384451,14.2,14.2,373.5355388,389.4720317,38455.0826,43107.02891,36467.43775,40608.26797,1614.109317,2109.288908
 02/24  03:00:00,7.8,22.18912899,21.91670803,14.2,14.2,702.8711679,537.2930285,39120.14757,40936.15343,36804.44987,38358.56793,1612.826525,2040.292465
 02/24  04:00:00,7.2,22.22404115,21.89313953,14.2,14.2,1061.473063,447.878069,39079.84577,42521.28221,36504.85823,39861.92757,1513.514482,2211.476575
 02/24  05:00:00,7.2,22.26089997,21.86147471,14.2,14.2,1258.358191,557.611838,39611.74653,42532.94621,36836.75304,39770.83974,1516.635303,2204.494635
 02/24  06:00:00,7.2,22.25962091,21.81687292,14.2,14.2,1398.569604,858.1207423,39800.77617,41552.79769,36934.43244,38640.15477,1467.77412,2054.522178
 02/24  07:00:00,7.2,22.40471362,21.90281368,14.2,14.2,551.2794818,-279.6728382,52139.60159,55304.56501,48712.70344,51892.07814,2875.618666,3692.159707
 02/24  08:00:00,8.1,22.25866454,21.91557204,14.2,14.2,-258.6373371,-582.7429387,45399.42502,48249.80125,42936.84447,45385.49682,2721.21789,3447.047367
 02/24  09:00:00,9.1,22.623749,22.14257431,14.2,14.2,-1168.0138,-2623.563223,60533.84938,65630.28926,57583.36021,62976.47658,4118.502968,5277.375903
 02/24  10:00:00,10,22.50054899,22.08194316,14.2,14.2,-1720.778343,-2380.369314,53235.64209,55596.0631,51233.06976,53460.27935,3723.35068,4516.153066
 02/24  11:00:00,10.9,22.82195222,22.29061747,14.2,14.2,-1185.337815,-2716.984769,56644.63855,61568.51369,54300.46988,59518.298,3529.506484,4767.200461
 02/24  12:00:00,11.9,22.92426493,22.28715255,14.2,14.2,-1166.547021,-2695.406875,56098.44984,58238.50695,53876.96285,56479.97622,3388.034014,4453.937607
 02/24  13:00:00,12.8,23.00917633,22.22766782,14.2,14.2,-1035.291451,-2894.679329,56857.54742,60321.03124,54531.12821,58485.1271,3361.710661,4730.583475
 02/24  14:00:00,13,23.11159975,22.24545968,14.2,14.2,-876.2770513,-2828.600574,56576.00526,58747.49888,54227.3808,57018.97293,3224.901511,4557.126532
 02/24  15:00:00,13.1,23.1746137,22.18752223,14.2,14.2,-645.6552143,-2747.352215,57245.8517,58665.53963,54641.54147,56856.80929,3249.965446,4556.082549
 02/24  16:00:00,13.3,23.24176229,22.16610352,14.2,14.2,-617.351524,-2836.985447,57587.19207,59576.22198,54995.46683,57710.44513,3209.076766,4702.762298
 02/24  17:00:00,12.4,23.26278476,22.1153953,14.2,14.2,-481.0686086,-2728.280303,57655.85981,59571.11104,54961.55292,57602.3993,3175.375498,4696.99205
 02/24  18:00:00,11.5,23.27902845,22.06004385,14.2,14.2,-324.8724417,-2440.367684,57890.8103,59004.27538,55050.10516,56870.78104,3165.577586,4573.86202
 02/24  19:00:00,10.6,22.78257472,22.01718625,14.2,14.2,-1576.169527,-972.5543438,48297.55806,48122.64822,46871.29052,45894.88231,3002.437072,3200.320256
 02/24  20:00:00,10.4,22.60349124,22.09757786,14.2,14.2,-682.3756175,-1129.044779,49283.26337,54664.95594,47216.40461,52173.50794,2749.234382,3620.492774
 02/24  21:00:00,10.2,22.6743615,22.08210267,14.2,14.2,-248.349982,-1004.955297,49701.29037,51186.95386,47296.75177,48840.74973,2652.888578,3351.159427
 02/24  22:00:00,10,22.70043345,22.05326313,14.2,14.2,-16.82753628,-1258.571393,49794.1274,53547.09119,47230.1006,51153.21794,2580.854329,3652.444651
 02/24  23:00:00,9.6,22.74063423,22.00572958,14.2,14.2,236.4333982,-1022.067197,50151.91529,51844.76658,47406.47386,49419.74223,2509.008036,3447.091542
 02/24  24:00:00,9.3,22.76782722,21.96321793,14.2,14.2,386.437479,-879.8069133,50348.71555,51787.30985,47484.5471,49230.27131,2477.730969,3436.845454
 02/25  01:00:00,8.9,22.2931706,21.89889486,14.2,14.2,-455.0746186,562.0032068,35890.81717,36462.89403,34336.16525,33833.55185,2009.726547,2067.338974
 02/25  02:00:00,8.2,22.04422296,21.87799249,14.2,14.2,664.4360804,634.5410541,38438.20232,43057.77026,36191.41996,40334.1981,1582.346283,2089.031107
 02/25  03:00:00,7.4,22.1057374,21.86136558,14.2,14.2,987.6468864,772.8905853,39249.92349,41100.33369,36684.88257,38313.72763,1577.394039,2013.715473
 02/25  04:00:00,6.7,22.13794089,21.83987794,14.2,14.2,1319.096695,691.3527108,39122.31971,42547.85319,36330.70379,39689.24837,1472.519225,2167.25211
 02/25  05:00:00,6.3,22.1884607,21.81971907,14.2,14.2,1500.076434,760.6151674,39641.00937,42568.24186,36654.59336,39640.18907,1486.339576,2167.437624
 02/25  06:00:00,6,22.22197541,21.80476311,14.2,14.2,1544.575386,938.1024127,39864.93027,41662.06736,36870.4376,38679.06571,1449.917285,2044.899231
 02/25  07:00:00,5.6,22.39325566,21.91506365,14.2,14.2,599.4265474,-314.5670937,52165.31257,55386.9769,48706.06513,52002.50555,2859.820894,3699.038438
 02/25  08:00:00,7.4,22.2013777,21.87910503,14.2,14.2,-129.5964587,-492.0326838,45384.73033,48194.31115,42808.43963,45248.80846,2705.887157,3437.535374
 02/25  09:00:00,9.3,22.58624238,22.12980515,14.2,14.2,-1043.409856,-2550.286438,60524.46165,65638.17247,57480.20216,62933.79373,4087.669349,5254.665171
 02/25  10:00:00,11.1,22.62430212,22.21903062,255.6,255.6,-2011.651488,-2794.049471,53281.93421,55645.10568,51571.53038,53897.01053,3722.055317,4542.14462
 02/25  11:00:00,11.8,22.96372959,22.44261245,269.8,269.8,-1585.100869,-3241.128407,56527.08477,61350.87952,54557.17112,59768.13672,3555.014518,4823.871206
 02/25  12:00:00,12.6,23.1930412,22.56812589,284,284,-1827.904986,-3523.350124,56071.33151,58172.02963,54444.28771,57118.49496,3454.948793,4576.884794
 02/25  13:00:00,13.3,23.39214338,22.63878687,269.8,269.8,-1975.847239,-4032.174968,56684.06864,60027.29214,55205.4054,59166.8929,3454.510479,4892.574206
