Date/Time,Outside tempertaure,WEST ZONE:Zone Operative Temperature [C](Hourly),EAST ZONE:Zone Operative Temperature [C](Hourly),WEST ZONE:Zone Lights Total Heating Rate [W](Hourly),EAST ZONE:Zone Lights Total Heating Rate [W](Hourly),West Zone:total power (Electric Machine (such as CPU) genearated power-air system cooling),East Zone:total power (genearated power-air system cooling),WESTDATACENTER_EQUIP:ITE Total Heat Gain to Zone Rate [W](Hourly),EAST ZONE:Zone ITE Total Heat Gain to Zone Rate [W](Hourly),WEST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),EAST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly)
 01/01  01:00:00,7.2,22.26470631,21.86900716,14.2,14.2,-359.4539852,663.3948213,35953.74832,36519.15555,34319.05627,33805.80509,1994.146036,2049.95563
 01/01  02:00:00,7.2,22.08503477,21.9143863,14.2,14.2,612.1143581,552.7068903,38545.12136,43183.51248,36354.60244,40547.63824,1578.404556,2083.167345
 01/01  03:00:00,6.7,22.14474061,21.89493981,14.2,14.2,856.0672929,624.2502821,39185.96506,41001.54321,36745.33737,38352.18687,1584.560399,2025.106065
 01/01  04:00:00,6.1,22.14935313,21.8465532,14.2,14.2,1260.543597,620.1409073,39112.57445,42542.22739,36373.04535,39741.62838,1478.985509,2180.458101
 01/01  05:00:00,4.4,22.22104995,21.84647797,14.2,14.2,1423.886942,661.4946499,39647.02449,42553.78176,36728.17616,39711.56385,1494.961388,2180.723258
 01/01  06:00:00,4.4,22.23740757,21.81667671,14.2,14.2,1482.323786,876.3432827,39875.32762,41649.71434,36940.34899,38720.60924,1452.65484,2052.761818
 01/01  07:00:00,6.1,22.38245377,21.90153547,14.2,14.2,631.1521483,-273.970547,52156.72702,55364.90212,48677.65403,51953.28282,2847.920836,3685.589852
 01/01  08:00:00,5,22.09139498,21.76800938,14.2,14.2,169.5497208,-122.4475972,45453.93113,48272.63083,42596.88573,44982.52389,2687.495678,3412.554546
 01/01  09:00:00,7.8,22.5227536,22.07520763,14.2,14.2,-790.1438918,-2267.741835,60522.95954,65658.15344,57268.19661,62723.1911,4044.906825,5202.704175
 01/01  10:00:00,8.9,22.58167919,22.17122082,255.6,255.6,-1842.890803,-2615.770379,53389.51216,55775.15835,51541.39311,53880.5306,3691.009852,4510.398134
 01/01  11:00:00,9.4,22.81938549,22.28071889,269.8,269.8,-1244.67937,-2848.031202,56568.47418,61370.06401,54310.52264,59460.11311,3502.630908,4757.9821
 01/01  12:00:00,10,22.99587797,22.34542473,284,284,-1326.700036,-2946.547675,56174.69185,58317.67353,54114.45025,56775.64119,3386.941638,4488.580018
 01/01  13:00:00,10.6,23.1660949,22.37604092,269.8,269.8,-1425.801778,-3401.135638,56812.83303,60169.84854,54856.94134,58789.56958,3381.693476,4781.414601
 01/01  14:00:00,11.1,23.32219006,22.44216243,227.2,227.2,-1419.338686,-3511.669201,56578.5399,58637.21348,54727.98308,57501.54847,3269.895511,4647.334208
 01/01  15:00:00,13.9,23.46375242,22.45890671,255.6,255.6,-1390.190224,-3661.545967,57220.50038,58559.21005,55296.76903,57531.28042,3313.921571,4689.475601
 01/01  16:00:00,13.9,23.36017434,22.27980405,284,284,-1114.650443,-3367.266553,57548.02902,59375.28659,55443.40763,57972.19152,3219.271831,4770.361619
 01/01  17:00:00,11.1,23.26080936,22.11780643,284,284,-512.2889693,-2697.750973,57582.05598,59293.83621,54923.22657,57337.59609,3171.118384,4653.991094
 01/01  18:00:00,11.1,23.28846439,22.04755478,14.2,14.2,-204.2769942,-2315.150791,58037.53524,58985.77427,55065.06346,56766.10914,3176.748774,4534.815922
 01/01  19:00:00,10.6,22.81509906,22.01422569,14.2,14.2,-1489.024431,-994.4706377,48443.5507,48396.46671,46936.07705,46086.82588,2996.498084,3304.111464
 01/01  20:00:00,10.6,22.60465379,22.09865438,14.2,14.2,-582.1204321,-1177.133888,49238.35939,54516.30914,47135.3227,52058.43769,2685.157127,3635.005345
 01/01  21:00:00,8.9,22.65807513,22.05844931,14.2,14.2,-141.1771307,-983.1585972,49694.88952,50901.10538,47166.49575,48529.39175,2669.570898,3354.872226
 01/01  22:00:00,9.4,22.69840378,22.04353362,14.2,14.2,30.31470824,-1221.462728,49882.715,53435.69576,47254.00764,50996.72379,2598.392644,3660.43469
 01/01  23:00:00,7.8,22.71068107,21.98324085,14.2,14.2,294.4716061,-911.1189275,50189.90244,51805.67597,47394.09857,49286.88771,2501.332266,3429.907183
 01/01  24:00:00,6.7,22.75937382,21.95849571,14.2,14.2,449.4946054,-852.5753778,50252.08385,51881.75783,47324.54577,49284.3704,2478.04347,3449.962814
 01/02  01:00:00,8.9,22.32624344,21.93386574,14.2,14.2,-522.4590353,479.4062174,35953.75575,36519.09492,34479.57964,33983.03149,1996.635145,2056.657217
 01/02  02:00:00,6.1,21.98264235,21.82111666,14.2,14.2,774.2127763,779.4063209,38558.39401,43186.45702,36215.37452,40337.21741,1568.806708,2069.83329
 01/02  03:00:00,5.6,22.0644498,21.82581467,14.2,14.2,1142.80965,953.8235481,39264.23787,41126.46273,36561.86047,38183.02192,1559.567758,1989.617259
 01/02  04:00:00,3.9,22.08583057,21.79301322,14.2,14.2,1493.907394,891.9197711,39183.1963,42623.07755,36231.5506,39586.80484,1457.738315,2144.352938
 01/02  05:00:00,5.6,22.19051881,21.82359745,14.2,14.2,1563.280578,816.5977839,39700.0892,42671.73493,36653.06557,39689.65003,1483.743054,2165.487116
 01/02  06:00:00,7.2,22.2729251,21.85089429,14.2,14.2,1445.193932,797.5707268,39909.70897,41736.76949,37003.47167,38872.28927,1461.043368,2066.909498
 01/02  07:00:00,7.8,22.46781877,21.98551057,14.2,14.2,384.422353,-570.7924802,52158.95613,55377.99315,48894.88733,52215.82758,2879.646445,3732.958044
 01/02  08:00:00,7.2,22.19439997,21.86953969,14.2,14.2,-172.9205327,-531.2002989,45334.87739,48103.82834,42785.1624,45179.09945,2722.63552,3455.929196
 01/02  09:00:00,10.6,22.53011183,22.06432264,14.2,14.2,-600.7400489,-2105.520004,60485.77654,65606.55515,57121.15224,62544.76234,3965.364352,5167.312814
 01/02  10:00:00,11.7,22.47793261,22.03843255,255.6,255.6,-1365.145941,-2118.247308,53513.69258,55905.87526,51272.2589,53592.85797,3606.579624,4431.2646
 01/02  11:00:00,13.9,22.78665076,22.23441689,269.8,269.8,-971.4152908,-2495.972128,56751.88925,61508.95682,54233.97924,59289.61524,3489.3253,4715.313709
 01/02  12:00:00,13.9,22.97229299,22.31114351,284,284,-1182.569151,-2752.38562,56260.6994,58467.29713,54061.98544,56747.64039,3381.283113,4472.04236
 01/02  13:00:00,13.9,23.3594769,22.566025,269.8,269.8,-1779.247527,-3727.857395,56835.17744,60177.72119,55185.36883,59081.88882,3429.056137,4823.689763
 01/02  14:00:00,13.9,23.22548955,22.34704857,227.2,227.2,-1440.170518,-3399.90902,56382.94389,58457.46948,54594.00913,57263.75147,3229.105282,4593.627028
 01/02  15:00:00,12.2,23.35553088,22.3489712,255.6,255.6,-1039.620427,-3210.661525,57082.31225,58457.23276,54824.31587,57067.69548,3297.61681,4600.198804
 01/02  16:00:00,12.8,23.37085916,22.2468125,284,284,-998.2125692,-3285.821563,57738.99392,59593.71509,55484.1819,58104.26257,3253.024588,4775.274082
 01/02  17:00:00,11.1,23.25430635,22.08331124,284,284,-581.4605037,-2726.369634,57626.38796,59539.57606,55066.77585,57563.91111,3141.072605,4702.034589
 01/02  18:00:00,10.6,23.22149516,21.97432773,14.2,14.2,-67.61005392,-2118.993271,57850.63348,58872.50016,54775.11039,56493.7237,3143.133145,4497.769732
 01/02  19:00:00,11.7,22.74740876,21.95440205,14.2,14.2,-1398.812584,-653.5125207,48546.10871,48195.0495,46946.9665,45701.10771,2997.954791,3147.454318
 01/02  20:00:00,11.7,22.60195978,22.09340735,14.2,14.2,-612.0997579,-956.477464,49288.70549,54804.16496,47159.59339,52159.31539,2741.211858,3601.327032
 01/02  21:00:00,10,22.65498358,22.06321261,14.2,14.2,-172.1742081,-859.4640079,49759.61125,51257.85295,47282.12113,48789.46304,2649.664323,3327.853921
 01/02  22:00:00,8.9,22.61656632,21.96871008,14.2,14.2,218.4049465,-962.8082416,49797.28657,53646.7468,47024.88144,50995.56961,2554.000189,3613.985426
 01/02  23:00:00,9.4,22.68305619,21.94018935,14.2,14.2,478.6143788,-753.9676324,50285.2306,52005.8968,47313.82351,49335.15006,2492.792705,3424.714379
 01/02  24:00:00,8.9,22.70917518,21.90021542,14.2,14.2,570.5238998,-640.0458554,50415.30493,51883.14088,47393.08592,49115.91588,2451.695106,3407.270862
 01/03  01:00:00,9.4,22.33185122,21.93694482,14.2,14.2,-508.6959688,526.5137888,35918.81927,36509.37753,34435.68653,33933.35224,1991.82871,2049.511504
 01/03  02:00:00,10,22.13660244,21.96439625,14.2,14.2,426.1650488,374.1250715,38522.98189,43152.82856,36504.00975,40682.6718,1592.807087,2096.031696
 01/03  03:00:00,12.2,22.19266616,21.9467894,14.2,14.2,699.3075756,477.0131496,39133.15297,40946.21281,36832.6733,38429.15861,1601.172087,2040.04105
 01/03  04:00:00,13.9,22.34070817,22.02640582,14.2,14.2,834.4086962,85.47053935,39089.5479,42525.18748,36715.4451,40189.10438,1539.6941,2250.61256
 01/03  05:00:00,12.8,22.39981649,22.01942002,14.2,14.2,860.035089,49.35370232,39640.21859,42558.67832,37231.05978,40232.0982,1549.123725,2277.226416
 01/03  06:00:00,12.2,22.42637219,21.99735907,14.2,14.2,925.4665093,219.5657469,39692.94974,41439.65531,37259.21703,39094.28278,1508.266197,2125.80678
 01/03  07:00:00,11.1,22.59758463,22.1015415,14.2,14.2,-62.29044531,-1054.236498,52058.45124,55108.41802,49177.37274,52371.70791,2943.368937,3790.946603
 01/03  08:00:00,11.1,22.31591779,21.97957472,14.2,14.2,-557.2751397,-974.0905901,45254.43439,48051.87112,43036.15468,45496.48408,2775.554848,3529.477632
 01/03  09:00:00,11.7,22.61149876,22.12976964,14.2,14.2,-909.150868,-2429.202487,60417.33005,65463.70814,57305.67534,62663.22612,4020.805578,5229.684505
 01/03  10:00:00,13.3,22.60055131,22.14761794,255.6,255.6,-1711.410715,-2508.302536,53449.12787,55848.99329,51498.81964,53853.98279,3661.718936,4503.313043
 01/03  11:00:00,12.2,22.81936299,22.2405534,269.8,269.8,-1140.389259,-2707.014302,56669.31945,61353.84095,54293.24134,59300.53932,3516.467378,4760.315933
 01/03  12:00:00,15,23.06895943,22.36617078,284,284,-1249.683364,-2965.667537,56248.88335,58371.14383,54164.94216,56823.62715,3333.624561,4513.184213
 01/03  13:00:00,15.6,23.32925016,22.46239273,269.8,269.8,-1616.960725,-3594.899507,57082.22365,60102.12933,55286.79679,58871.93995,3412.387578,4825.088892
 01/03  14:00:00,16.1,23.46461107,22.53326892,227.2,227.2,-1711.328731,-3739.354466,56416.11072,58501.74535,54838.00862,57554.32689,3289.430828,4686.772929
 01/03  15:00:00,16.1,23.46146462,22.3596673,255.6,255.6,-1351.965299,-3700.304619,57262.04318,58506.14614,55288.46006,57497.01851,3325.548416,4709.432243
 01/03  16:00:00,13.9,23.44369837,22.24235999,284,284,-1132.618846,-3449.014769,57613.14694,59284.69941,55489.14082,57895.46726,3256.624961,4838.246919
 01/03  17:00:00,13.9,23.31855869,22.08605677,284,284,-621.4072359,-2744.065205,57685.29496,59234.90553,55124.96995,57255.9936,3181.73224,4722.977135
 01/03  18:00:00,12.8,23.37732634,22.1007303,14.2,14.2,-369.202094,-2366.033087,57984.34956,58738.44646,55166.58847,56575.82914,3186.963181,4528.650405
 01/03  19:00:00,12.2,22.88759452,22.05299629,14.2,14.2,-1650.59702,-1098.876442,48495.72814,48167.77648,47136.47607,46000.81174,3009.849087,3265.841184
 01/03  20:00:00,10.6,22.6115119,22.05429021,14.2,14.2,-663.489975,-1136.650551,49156.7551,54521.05694,47096.2323,52026.3879,2724.01278,3631.319597
 01/03  21:00:00,10,22.74292653,22.08671195,14.2,14.2,-274.9072426,-1074.38064,49860.45488,51191.19109,47471.13958,48873.36089,2664.222539,3392.210841
 01/03  22:00:00,8.9,22.69502604,21.99177166,14.2,14.2,71.37181005,-1235.436763,49783.42356,53406.92296,47136.1653,50981.83492,2575.886443,3660.524798
 01/03  23:00:00,8.9,22.81610039,22.01207786,14.2,14.2,192.0962023,-1151.429011,50340.31594,51846.43809,47618.11263,49498.93352,2530.107103,3498.933581
 01/03  24:00:00,8.9,22.86819643,21.99794339,14.2,14.2,167.324477,-1183.733017,50397.12318,51782.04497,47733.22187,49459.12102,2496.576833,3506.656971
 01/04  01:00:00,8.3,22.32612015,21.89851571,14.2,14.2,-579.9310952,530.8870016,35891.75716,36269.35431,34443.70197,33694.17001,2027.986278,2044.297298
 01/04  02:00:00,7.8,22.05895826,21.880004,14.2,14.2,612.9984459,623.773178,38452.82588,43208.84386,36248.77367,40491.85762,1591.053763,2093.213061
 01/04  03:00:00,8.3,22.20384302,21.94191724,14.2,14.2,752.6979531,517.0240943,39271.84158,41046.65389,36916.43206,38486.92919,1602.711567,2042.700608
 01/04  04:00:00,6.1,22.11862325,21.81637049,14.2,14.2,1243.965944,671.1246498,39049.04669,42489.42324,36340.26004,39651.11723,1464.820713,2167.181363
 01/04  05:00:00,4.4,22.21292863,21.83865576,14.2,14.2,1489.977692,746.2881706,39609.4605,42509.72944,36622.89458,39600.93492,1496.588224,2162.506356
 01/04  06:00:00,6.1,22.22621817,21.80197675,14.2,14.2,1523.14181,946.1803783,39966.65124,41732.07576,36986.65431,38735.92766,1456.85512,2049.967717
 01/04  07:00:00,5,22.38253094,21.9010496,14.2,14.2,636.3553364,-254.7169553,52167.68593,55451.13095,48677.39803,52010.12784,2853.932563,3695.720075
 01/04  08:00:00,6.7,22.16614643,21.84128515,14.2,14.2,-17.46405864,-337.680907,45447.14144,48244.96689,42767.78014,45162.48242,2696.825355,3420.165378
 01/04  09:00:00,8.3,22.47504269,22.01896047,14.2,14.2,-725.5874038,-2163.479768,60542.92567,65685.5222,57223.46233,62651.28395,4045.050748,5197.718014
 01/04  10:00:00,8.9,22.37015767,21.95996247,255.6,255.6,-1316.403649,-1946.455853,53431.87245,55839.6492,51091.78701,53340.75695,3656.48909,4445.348103
 01/04  11:00:00,8.9,22.63529348,22.10309191,269.8,269.8,-709.1653256,-2160.404398,56721.46955,61663.13093,53969.89575,59145.47373,3460.73912,4678.061596
 01/04  12:00:00,10,22.95842106,22.30301948,284,284,-1190.713957,-2710.562232,56212.70393,58434.46899,54024.58938,56687.77668,3378.828504,4457.254543
 01/04  13:00:00,10.6,23.0657492,22.25965976,269.8,269.8,-1222.878844,-3088.176385,56695.0295,60151.54202,54561.7496,58512.87861,3356.158744,4726.83979
 01/04  14:00:00,10.6,23.31169537,22.38998865,227.2,227.2,-1330.033439,-3330.764536,56650.17251,58741.8709,54696.68427,57444.18336,3283.521682,4628.452075
 01/04  15:00:00,10,23.15758568,22.12227928,255.6,255.6,-898.823241,-2861.025049,57204.76261,58631.7331,54880.76179,56932.35788,3222.824065,4560.400273
 01/04  16:00:00,10.6,23.21823904,22.10264414,284,284,-572.5985022,-2649.641187,57391.38463,59309.97882,54777.20297,57341.07168,3186.780159,4618.548332
 01/04  17:00:00,10,23.10349754,21.90728266,284,284,-154.2218206,-2152.919721,57791.40924,59534.16683,54815.05167,57112.10626,3130.579399,4574.980284
 01/04  18:00:00,10,23.08677095,21.84531238,14.2,14.2,215.6149925,-1639.439958,57950.24063,59223.10064,54651.8698,56416.50194,3082.755834,4446.03865
 01/04  19:00:00,9.4,22.60274698,21.82382565,14.2,14.2,-1024.000319,-186.8981973,48372.85424,48391.4339,46487.09807,45501.44766,2909.756496,3076.884441
 01/04  20:00:00,9.4,22.41685484,21.90676762,14.2,14.2,-112.094111,-353.883019,49453.74147,54912.48002,46897.16373,51775.58409,2668.671855,3490.778946
 01/04  21:00:00,8.9,22.53142015,21.94545953,14.2,14.2,204.7290591,-407.7018296,49811.3088,51412.20404,47023.1639,48569.49582,2583.415844,3250.410052
 01/04  22:00:00,8.9,22.57272599,21.93437405,14.2,14.2,359.8674638,-771.5809235,49861.24414,53688.88184,46982.13668,50901.50009,2519.239995,3558.962676
 01/04  23:00:00,7.2,22.62646796,21.90329885,14.2,14.2,564.7535325,-595.453827,50206.22594,52000.50448,47182.99529,49225.74995,2458.477118,3370.20835
 01/04  24:00:00,8.3,22.69437227,21.9030003,14.2,14.2,608.6433905,-585.6980754,50398.01424,51928.68569,47347.46833,49134.5378,2441.902524,3379.845964
 01/05  01:00:00,7.8,22.23627839,21.84476075,14.2,14.2,-261.6827002,776.0537267,35916.08957,36576.47715,34209.339,33768.54168,1968.433271,2031.88174
 01/05  02:00:00,7.8,22.00604824,21.83715105,14.2,14.2,808.9067825,818.5582682,38482.96952,43074.43574,36125.56124,40213.71782,1548.501489,2042.159647
 01/05  03:00:00,5,21.97145186,21.73363085,14.2,14.2,1335.92968,1222.220041,39299.08187,41202.06221,36437.43283,38038.70053,1525.719357,1941.141648
 01/05  04:00:00,3.9,22.05290066,21.76106255,14.2,14.2,1648.247895,1086.30576,39263.23546,42724.97567,36179.82998,39534.24135,1435.157593,2104.428564
 01/05  05:00:00,4.4,22.06560358,21.71287136,14.2,14.2,1830.440907,1210.611744,39726.22069,42751.32696,36462.72102,39440.59199,1433.058764,2100.123226
 01/05  06:00:00,3.9,22.09122308,21.69434793,14.2,14.2,1940.684532,1431.682566,39892.74383,41781.96507,36554.55772,38387.31856,1397.501577,1962.963944
 01/05  07:00:00,6.1,22.34437694,21.88023691,14.2,14.2,828.4052768,-49.77250742,52257.76057,55527.65934,48619.66446,51942.29001,2809.690833,3635.141836
 01/05  08:00:00,6.7,22.10733525,21.79052931,14.2,14.2,128.7493422,-179.8187709,45432.31897,48249.19782,42631.81064,45035.00333,2671.758984,3394.013255
 01/05  09:00:00,7.2,22.41700985,21.95702817,14.2,14.2,-249.8211024,-1696.873617,60539.70061,65692.31024,56888.79216,62301.82369,3900.729553,5087.360162
 01/05  10:00:00,7.2,22.30312955,21.87498709,14.2,14.2,-820.4625357,-1468.682138,53629.50406,56086.41187,50921.30553,53224.97605,3528.661073,4330.117958
 01/05  11:00:00,8.3,22.61797136,22.07820309,14.2,14.2,-425.2506651,-1856.315848,56885.60522,61740.78423,53899.95165,58986.09602,3410.904236,4611.004055
 01/05  12:00:00,8.9,22.77599342,22.13072594,14.2,14.2,-604.2646121,-2039.108661,56355.39411,58585.43651,53663.957,56283.36073,3295.701724,4341.184441
 01/05  13:00:00,9.4,23.04002372,22.25788776,14.2,14.2,-947.5782353,-2751.165364,56957.51672,60436.63037,54584.09663,58518.69739,3320.998327,4669.098351
 01/05  14:00:00,10.6,23.1318138,22.2672295,14.2,14.2,-944.2895533,-2819.133692,56548.97562,58753.0679,54295.57169,57062.23347,3197.69348,4509.968117
 01/05  15:00:00,11.1,23.15362327,22.16411624,14.2,14.2,-622.7487835,-2645.937029,57224.56087,58702.8053,54626.562,56841.69247,3220.747656,4507.049857
 01/05  16:00:00,10,23.17941206,22.09407737,14.2,14.2,-479.3401171,-2599.263688,57585.10151,59621.74108,54893.00839,57586.25946,3171.433234,4634.745307
 01/05  17:00:00,10.6,23.02061219,21.87395409,14.2,14.2,49.70237361,-1925.376656,57681.1345,59643.01484,54551.23678,57020.41579,3080.195349,4547.975704
 01/05  18:00:00,9.4,23.13203798,21.90474375,14.2,14.2,220.4302864,-1705.117099,57922.09127,59135.42703,54584.87736,56407.98905,3116.783619,4432.555078
 01/05  19:00:00,8.9,22.62102645,21.83518856,14.2,14.2,-1105.536849,-284.500398,48528.57333,48487.77577,46683.45164,45656.964,2950.658536,3115.312164
 01/05  20:00:00,8.9,22.42868743,21.90717539,14.2,14.2,-176.0742803,-408.1061812,49356.27258,54829.04249,46855.40288,51731.59463,2676.943976,3505.554043
 01/05  21:00:00,7.8,22.54772265,21.94505505,14.2,14.2,149.193784,-430.1136358,49808.9356,51414.4086,47060.35058,48574.45579,2599.391236,3270.066441
 01/05  22:00:00,8.3,22.5977315,21.94234525,14.2,14.2,292.6785281,-826.2539272,49802.77421,53628.67874,46975.70387,50881.66862,2534.391811,3573.264052
 01/05  23:00:00,7.8,22.66715462,21.91983251,14.2,14.2,465.0370847,-685.8528354,50206.04442,51969.70681,47260.66325,49260.76247,2480.344084,3394.797171
 01/05  24:00:00,7.2,22.70873838,21.89276422,14.2,14.2,544.0081372,-623.8876668,50379.65861,51907.61615,47383.41188,49136.18033,2452.238593,3395.323493
 01/06  01:00:00,7.2,22.26334323,21.85479388,14.2,14.2,-338.4856145,759.5295728,35884.59129,36509.43351,34239.78635,33718.97392,1983.290548,2030.930016
 01/06  02:00:00,6.7,22.03218783,21.84971825,14.2,14.2,724.2799063,770.2209529,38475.57857,43110.5476,36187.33597,40285.40036,1563.96269,2054.926284
 01/06  03:00:00,6.7,22.10698804,21.84782107,14.2,14.2,994.8904096,844.5120682,39266.63165,41149.48149,36706.30586,38313.19265,1565.435385,1991.776765
 01/06  04:00:00,6.7,22.15048659,21.83764143,14.2,14.2,1287.500054,716.5646229,39125.71082,42564.35437,36371.52636,39698.62171,1466.684403,2149.168031
 01/06  05:00:00,6.1,22.19519097,21.81317895,14.2,14.2,1466.93212,787.6442423,39650.50971,42586.96213,36703.50497,39647.99927,1480.072621,2151.318615
 01/06  06:00:00,6.1,22.13962379,21.71890145,14.2,14.2,1697.96307,1220.701979,39858.73982,41679.3075,36743.02401,38463.40652,1417.75273,1995.198997
 01/06  07:00:00,5.6,22.37179084,21.89127081,14.2,14.2,725.2686029,-112.6290028,52159.77626,55406.54613,48611.06036,51875.48516,2823.447296,3643.689967
 01/06  08:00:00,5,22.09503106,21.76459571,14.2,14.2,155.6087745,-104.3541336,45452.39011,48287.4554,42616.12464,44995.8193,2680.656693,3395.990235
 01/06  09:00:00,5.6,22.45406367,21.98420722,14.2,14.2,-324.3090505,-1748.880957,60540.73302,65691.6291,56943.461,62336.77256,3921.581062,5103.737496
 01/06  10:00:00,6.1,22.33444351,21.89694661,14.2,14.2,-928.6255403,-1560.094374,53580.88425,56023.42989,50957.71665,53234.17965,3551.793138,4349.344605
 01/06  11:00:00,6.7,22.57090633,22.02038154,14.2,14.2,-339.3629066,-1737.939758,56849.33167,61706.31551,53778.73692,58838.36523,3409.957659,4605.890034
 01/06  12:00:00,6.7,22.64893592,21.99854308,14.2,14.2,-266.6740005,-1629.644662,56377.49209,58613.75339,53374.70705,55946.59627,3269.459037,4296.801784
 01/06  13:00:00,7.2,23.16068476,22.39481164,14.2,14.2,-1169.414726,-2931.67197,57044.66289,60552.22926,54857.74426,58784.15353,3356.33335,4699.747696
 01/06  14:00:00,7.8,23.02719625,22.21049255,14.2,14.2,-812.6868863,-2667.548494,56297.43477,58521.49603,53867.33553,56702.19202,3242.786126,4486.852503
 01/06  15:00:00,8.3,23.12554431,22.1438307,14.2,14.2,-452.6899903,-2666.672426,57696.21716,60065.24156,54905.91862,58033.46807,3242.988526,4698.445917
 01/06  16:00:00,8.3,23.13894474,22.08637087,14.2,14.2,-475.9472703,-2498.59793,57347.05977,59806.34911,54679.94654,57667.02581,3143.060496,4637.921232
 01/06  17:00:00,8.3,22.9809752,21.85444121,14.2,14.2,174.3927504,-1673.357239,57595.4788,58925.81836,54336.0298,56200.5501,3085.056249,4398.625503
 01/06  18:00:00,8.3,23.11866852,21.90369103,14.2,14.2,250.6033327,-1641.678452,57975.22268,59116.17465,54600.88834,56346.61815,3123.731007,4411.234943
 01/06  19:00:00,8.3,22.63677032,21.84406295,14.2,14.2,-1038.048407,-466.2909487,48446.63035,48975.40164,46569.79407,46176.68703,2914.884686,3265.005557
 01/06  20:00:00,7.8,22.37295628,21.83436505,14.2,14.2,13.67348643,-471.6457299,49332.29212,54434.02555,46720.37203,51400.43256,2598.246597,3505.238723
 01/06  21:00:00,6.7,22.50434234,21.8770005,14.2,14.2,246.5385277,-372.3800908,49765.81237,51267.79052,46961.97707,48356.1735,2557.296773,3283.997119
 01/06  22:00:00,6.7,22.50280882,21.82852808,14.2,14.2,598.9864373,-593.141908,49706.93665,53493.14222,46618.7928,50547.93617,2489.157406,3538.347955
 01/06  23:00:00,10,22.7113164,21.92239621,14.2,14.2,534.8705068,-721.9205424,50438.76696,51974.36897,47401.06051,49285.24782,2502.83595,3411.041694
 01/06  24:00:00,8.9,22.70638876,21.85590887,14.2,14.2,487.5625081,-712.8990998,50445.90013,51940.37522,47525.56317,49235.95276,2432.77446,3417.321553
 01/07  01:00:00,9.4,22.26999868,21.85094451,14.2,14.2,-354.9960491,781.2005899,35750.82197,36339.84743,34141.59491,33559.07611,1964.223112,1999.570731
 01/07  02:00:00,8.9,22.02635683,21.84196715,14.2,14.2,720.2609529,775.8727297,38542.32488,43216.88573,36269.6851,40404.22984,1552.378832,2036.783156
 01/07  03:00:00,6.1,22.04167034,21.78718487,14.2,14.2,1138.35085,1037.330958,39246.41967,41101.57081,36566.61646,38111.98538,1541.452361,1952.254478
 01/07  04:00:00,6.7,22.09624293,21.7889559,14.2,14.2,1476.419118,921.939685,39217.62401,42691.35098,36290.90044,39646.31404,1450.304451,2123.097259
 01/07  05:00:00,7.2,22.17720496,21.80285663,14.2,14.2,1547.53199,877.3868181,39704.92163,42711.13577,36690.91319,39693.16602,1466.476459,2140.582933
 01/07  06:00:00,8.3,22.23323311,21.80967219,14.2,14.2,1518.732676,952.2240614,39882.33584,41727.97573,36924.95584,38751.61427,1438.64732,2024.137394
 01/07  07:00:00,7.8,22.41663702,21.9304977,14.2,14.2,538.6896758,-343.9953905,52178.02528,55396.75574,48799.675,52071.17305,2839.6606,3669.578082
 01/07  08:00:00,8.9,22.17998789,21.84842793,14.2,14.2,-84.78489417,-393.6837142,45433.63136,48245.72403,42827.37568,45225.34187,2691.040574,3414.065868
 01/07  09:00:00,8.9,22.46867156,21.99449882,14.2,14.2,-427.3404371,-1857.699383,60523.43912,65652.24842,57028.88368,62404.44516,3921.895876,5105.50264
 01/07  10:00:00,10,22.38622474,21.93943672,255.6,255.6,-1088.845545,-1741.73853,53630.17237,56072.68283,51157.98138,53448.24139,3561.03653,4366.179973
 01/07  11:00:00,7.8,22.55462899,21.98354727,269.8,269.8,-381.2601539,-1759.797298,56834.67414,61648.12136,53811.44274,58809.54787,3404.491549,4598.370784
 01/07  12:00:00,7.8,22.58819279,21.91086248,284,284,-143.0595233,-1415.263031,56428.90631,58674.13436,53323.40401,55827.84642,3248.561825,4261.550974
 01/07  13:00:00,8.9,22.82911295,22.01191691,269.8,269.8,-381.0970911,-1968.952519,57125.62757,60635.88615,54245.08074,58047.85905,3261.643916,4556.979626
 01/07  14:00:00,8.9,22.9959825,22.09625677,227.2,227.2,-541.4170841,-2239.158585,56637.48132,58967.55646,54022.27622,56785.26262,3156.622181,4421.45243
 01/07  15:00:00,10,23.03183768,22.01456465,255.6,255.6,-325.5182916,-2140.746009,57336.33498,58914.82291,54482.3113,56629.73842,3179.541976,4425.8305
 01/07  16:00:00,9.4,23.1097029,22.00564288,284,284,-313.9486412,-2250.733962,57587.43035,59722.6953,54758.86075,57416.1076,3142.518243,4557.321661
 01/07  17:00:00,8.9,22.98130672,21.82233318,284,284,102.8464366,-1724.345837,57689.42877,59718.41492,54523.77218,56953.39143,3062.810152,4489.369331
 01/07  18:00:00,8.3,23.019118,21.80248582,14.2,14.2,424.3953421,-1327.550738,57887.43372,59203.16247,54401.19227,56181.22994,3061.846105,4349.483273
