Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly),space1 power input,space2 power input,space3 power input,space4 power input,space5 power input,SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),
 04/08  13:00:00,13.3,22.5204526,22.85981199,22.7672618,22.80377979,22.46010347,2035.52463,655.586989,1569.866736,685.6939402,3536.244565,406.8344598,0,54.37053397,0,175.29962,0,71.13029401,0,657.1500256,0,1628.69017,601.216455,1394.567116,614.5636462,2879.09454,
 04/08  14:00:00,12.9875,22.54383121,22.86715627,22.80022393,22.84355653,22.49121862,2024.127184,673.835264,1583.355938,685.3519664,3485.539039,381.189724,0,54.44213823,0,162.1131455,0,61.91082436,0,595.5178359,0,1642.93746,619.3931258,1421.242792,623.441142,2890.021203,
 04/08  15:00:00,12.425,22.56653695,22.8421727,22.78444246,22.89859955,22.51079319,2056.605307,727.4172914,1690.990258,687.0078341,3537.164361,361.4585628,0,64.89836812,0,179.9813665,0,46.40304213,0,555.9693863,0,1695.146744,662.5189232,1511.008891,640.6047919,2981.194975,
 04/08  16:00:00,12.2,22.82525258,22.90831752,22.86153427,23.32526166,22.53989686,1656.177435,695.030265,1610.526974,355.1824873,3491.02179,147.1060169,0,42.24922293,0,125.5816001,0,0,125.969757,507.1917206,0,1509.071418,652.7810421,1484.945373,481.1522443,2983.830069,
 04/08  17:00:00,12.2,22.86682867,22.82153513,22.7650139,23.37049665,22.56844926,1614.676244,752.2097977,1742.066522,301.5100447,3388.005311,126.7045667,0,70.99605298,0,191.7065808,0,0,152.6550395,456.3383801,0,1487.971677,681.2137447,1550.359942,454.1650841,2931.666931,
 04/08  18:00:00,11.8875,22.89419215,22.65579549,22.59517886,23.44822103,22.57218665,1612.904066,892.4479014,2068.91728,257.7966361,3437.164816,106.0232619,0,132.1355051,0,335.3368117,0,0,183.5026696,444.906197,0,1506.880804,760.3123963,1733.580468,441.2993057,2992.258619,
 04/08  19:00:00,11.7,22.55961871,22.44015213,22.38193577,22.92159122,22.54364472,2203.035843,1119.289097,2565.410434,717.1588383,3561.453193,389.1329622,0,240.1191291,0,571.6178264,0,63.00733805,22.24652008,485.302794,0,1813.902881,879.1699678,1993.792607,676.3980204,3076.150399,
 04/08  20:00:00,11.7,22.34534528,22.31754182,22.26927952,22.52492023,22.49073111,2680.977906,1261.756743,2841.621305,1040.474527,3740.388804,627.8513202,0,311.2577795,0,709.4660253,0,202.3061293,0,574.324835,0,2053.126586,950.4989639,2132.15528,838.1683974,3166.063969,
 04/08  21:00:00,11.7,22.24188112,22.25214183,22.20712546,22.34699946,22.45192043,2946.014859,1344.762972,3008.335313,1232.986635,3888.036846,760.5565698,0,352.8010454,0,792.9811365,0,298.6303416,0,648.407518,0,2185.458289,991.9619268,2215.354176,934.3562933,3239.629328,
 04/08  22:00:00,11.7,20.3989157,20.48989005,20.37268185,20.59628028,20.81601962,-1032.291715,-439.5444223,-1018.774569,-431.9339838,-1939.970528,0,1032.291715,0,439.5444223,0,1018.774569,0,431.9339838,0,1939.970528,0,0,0,0,0,
 04/08  23:00:00,11.7,19.34812995,19.44734497,19.31597769,19.53147505,19.82469949,-862.5452237,-378.2124881,-851.681847,-373.588577,-1626.20661,0,862.5452237,0,378.2124881,0,851.681847,0,373.588577,0,1626.20661,0,0,0,0,0,
 04/08  24:00:00,11.7,19.00546262,19.06416961,18.97509383,19.11634883,19.53404323,-823.8599017,-364.3141331,-815.0983048,-360.6233149,-1568.258125,0,823.8599017,0,364.3141331,0,815.0983048,0,360.6233149,0,1568.258125,0,0,0,0,0,
 04/09  01:00:00,11.325,18.76165366,18.80027554,18.73087418,18.83603895,19.31568039,-839.8396621,-370.6611972,-830.8829163,-366.575421,-1602.071803,0,839.8396621,0,370.6611972,0,830.8829163,0,366.575421,0,1602.071803,0,0,0,0,0,
