Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Gas:HVAC [J](Monthly),Gas:Facility [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Gas:HVAC [J](RunPeriod),Gas:Facility [J](RunPeriod) 
January,11619777293.9799,10989815869.3032,7212066619.15517,629961424.676767,16402941614.1692,16402941614.1692 
February,10506969588.0485,9926285301.30625,6514124688.26912,580684286.742278,11622550939.773,11622550939.773 
March,11662036095.3791,10989815869.3032,7212066619.15517,672220226.075876,10022983509.9636,10022983509.9636 
April,11210763366.8124,10635305679.9709,6979419308.85982,575457686.841504,6380494356.90714,6380494356.90714 
May,11690975482.5976,10989815869.3032,7212066619.15517,701159613.294379,4927020413.82786,4927020413.82786 
June,11375637412.8682,10635305679.9709,6979419308.85982,740331732.89727,4049405132.75564,4049405132.75564 
July,11622191491.1771,10989815869.3032,7212066619.15517,632375621.873884,2941784056.26254,2941784056.26254 
August,11819000150.6182,10989815869.3032,7212066619.15517,829184281.314933,2528016041.14799,2528016041.14799 
September,11382520283.9872,10635305679.9709,6979419308.85982,747214604.016306,2513866161.45892,2513866161.45892 
October,11694064626.8106,10989815869.3032,7212066619.15517,704248757.507446,5084493763.31584,5084493763.31584 
November,11274370112.4369,10635305679.9709,6979419308.85982,639064432.466045,9289393720.47446,9289393720.47446 
December,11591394145.1768,10989815869.3032,7212066619.15517,601578275.87363,13220429204.5444,13220429204.5444,137449700049.942,129396219106.348,84916268257.7994,8053480943.58212,88983378914.6007,88983378914.6007 
