Date/Time,FURNACE_DX_A_B_G_L HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_B_C_H_G HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_C_D_I_H HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_D_E_J_I HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_E_F_K_J HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_L_K_F_A HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_G_H_I_L HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_I_J_K_L HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_A_B_G_L COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_B_C_H_G COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_C_D_I_H COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_D_E_J_I COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_E_F_K_J COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_L_K_F_A COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_G_H_I_L COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_I_J_K_L COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly) 
 09/24  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  08:00:00,1191.77211417224,180.429503317056,490.432836905251,309.510422244294,86.6922117882472,532.867658635745,1126.18780544818,571.274293882982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  09:00:00,476.908948125648,10.1697841409598,0.802076575429969,71.6715611579789,0.0,148.660319816353,413.012331512374,214.279297814982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  10:00:00,289.12850541772,0.0,0.0,20.4604915133085,0.0,78.1932168939123,256.491039412299,136.071685667003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  11:00:00,100.832157001038,0.0,0.0,0.0,0.0,12.4721801557662,117.899431029428,66.7910849527056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.02491879850226,3.45133916430109,0.0,0.0,0.0,0.0,136.707115015336,0.0,0.0,0.0 
 09/25  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.372533016434,0.0,576.046553712822,0.0,0.0,0.0 
 09/25  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.795364666859,0.0,674.762355816551,0.0,0.0,0.0 
 09/25  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.36550709862,0.0,666.288897971096,0.0,0.0,0.0 
 09/25  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.32584747262,0.0,530.779725899115,0.0,0.0,0.0 
 09/25  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3933192596034,0.0,0.0,0.0 
 09/25  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  19:00:00,1107.70453642207,193.921579389229,338.574369870426,335.03489429436,21.2244681634331,443.71905338263,1297.81039630673,664.201114204234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  20:00:00,1299.7918655464,257.183938316221,486.599912021581,414.570541415674,80.8056211853727,575.162938909961,1457.42062232203,739.924346248057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  21:00:00,1423.06886080456,294.242283145233,694.87074911712,461.182411880917,143.115645885552,640.124390897859,1554.77146483966,787.64343244411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/25  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  08:00:00,1428.26656411067,333.038010392098,789.598160783263,458.810294984662,236.542099300235,636.913604048505,1246.69431903701,631.221706353084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  09:00:00,1041.63327436465,231.308199406447,491.423196246622,327.970794949452,129.116715639105,438.055372639296,865.062319682797,444.400417313279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  10:00:00,658.073791215575,85.0482857422416,162.660059330586,151.797931709057,23.241580880574,276.457523245413,551.597502682972,286.919340498066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  11:00:00,300.24839534624,0.0,0.0,0.0,0.0,115.643362903809,260.651091806942,141.146953635319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/26  12:00:00,52.6802089210162,0.0,0.0,0.0,0.0,12.5705313954292,57.530524060087,38.2206501299395,0.0,0.0,0.0,0.0,59.9132006497248,0.0,0.0,0.0 
 09/26  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.966779778757,0.0,0.0,0.0 
 09/26  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.578418696454,0.0,564.637764872061,0.0,0.0,0.0 
 09/26  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.72590398668,0.0,495.810133072087,0.0,0.0,0.0 
 09/26  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.195079981086,0.0,0.0,0.0 
