Time,FURNACE_DX_A_B_G_L:Des Heat Mass Flow [kg/s],FURNACE_DX_A_B_G_L:Des Cool Mass Flow [kg/s],FURNACE_DX_A_B_G_L:Des Heat Cap [W],FURNACE_DX_A_B_G_L:Des Sens Cool Cap [W],FURNACE_DX_B_C_H_G:Des Heat Mass Flow [kg/s],FURNACE_DX_B_C_H_G:Des Cool Mass Flow [kg/s],FURNACE_DX_B_C_H_G:Des Heat Cap [W],FURNACE_DX_B_C_H_G:Des Sens Cool Cap [W],FURNACE_DX_C_D_I_H:Des Heat Mass Flow [kg/s],FURNACE_DX_C_D_I_H:Des Cool Mass Flow [kg/s],FURNACE_DX_C_D_I_H:Des Heat Cap [W],FURNACE_DX_C_D_I_H:Des Sens Cool Cap [W],FURNACE_DX_D_E_J_I:Des Heat Mass Flow [kg/s],FURNACE_DX_D_E_J_I:Des Cool Mass Flow [kg/s],FURNACE_DX_D_E_J_I:Des Heat Cap [W],FURNACE_DX_D_E_J_I:Des Sens Cool Cap [W],FURNACE_DX_E_F_K_J:Des Heat Mass Flow [kg/s],FURNACE_DX_E_F_K_J:Des Cool Mass Flow [kg/s],FURNACE_DX_E_F_K_J:Des Heat Cap [W],FURNACE_DX_E_F_K_J:Des Sens Cool Cap [W],FURNACE_DX_L_K_F_A:Des Heat Mass Flow [kg/s],FURNACE_DX_L_K_F_A:Des Cool Mass Flow [kg/s],FURNACE_DX_L_K_F_A:Des Heat Cap [W],FURNACE_DX_L_K_F_A:Des Sens Cool Cap [W],FURNACE_DX_G_H_I_L:Des Heat Mass Flow [kg/s],FURNACE_DX_G_H_I_L:Des Cool Mass Flow [kg/s],FURNACE_DX_G_H_I_L:Des Heat Cap [W],FURNACE_DX_G_H_I_L:Des Sens Cool Cap [W],FURNACE_DX_I_J_K_L:Des Heat Mass Flow [kg/s],FURNACE_DX_I_J_K_L:Des Cool Mass Flow [kg/s],FURNACE_DX_I_J_K_L:Des Heat Cap [W],FURNACE_DX_I_J_K_L:Des Sens Cool Cap [W] 
00:15:00,1.866995E-01,9.888403E-02,9.069748E+03,8.511063E+02,5.291491E-02,2.386858E-02,2.402216E+03,2.054396E+02,1.403317E-01,7.501551E-02,6.845166E+03,6.456672E+02,6.340487E-02,3.409796E-02,3.101067E+03,2.934851E+02,5.628326E-02,2.386853E-02,2.493602E+03,2.054392E+02,1.006836E-01,5.796650E-02,5.079054E+03,4.989244E+02,1.176014E-01,1.091134E-01,7.609293E+03,9.391518E+02,5.974429E-02,5.455672E-02,3.830248E+03,4.695761E+02 
00:30:00,1.868610E-01,9.888403E-02,9.074132E+03,8.351583E+02,5.295430E-02,2.386858E-02,2.403285E+03,2.015901E+02,1.404528E-01,7.501551E-02,6.848451E+03,6.335688E+02,6.345966E-02,3.409796E-02,3.102554E+03,2.879858E+02,5.632220E-02,2.386853E-02,2.494658E+03,2.015897E+02,1.007800E-01,5.796650E-02,5.081672E+03,4.895756E+02,1.177646E-01,1.091134E-01,7.613722E+03,9.215540E+02,5.982767E-02,5.455672E-02,3.832510E+03,4.607772E+02 
00:45:00,1.870136E-01,9.888403E-02,9.078273E+03,8.192103E+02,5.299145E-02,2.386858E-02,2.404293E+03,1.977406E+02,1.405671E-01,7.501551E-02,6.851553E+03,6.214703E+02,6.351137E-02,3.409796E-02,3.103957E+03,2.824865E+02,5.635891E-02,2.386853E-02,2.495654E+03,1.977402E+02,1.008712E-01,5.796650E-02,5.084145E+03,4.802268E+02,1.179187E-01,1.091134E-01,7.617903E+03,9.039562E+02,5.990658E-02,5.455672E-02,3.834651E+03,4.519783E+02 
01:00:00,1.871578E-01,9.888403E-02,9.082186E+03,8.032623E+02,5.302652E-02,2.386858E-02,2.405245E+03,1.938911E+02,1.406752E-01,7.501551E-02,6.854486E+03,6.093718E+02,6.356023E-02,3.409796E-02,3.105283E+03,2.769872E+02,5.639355E-02,2.386853E-02,2.496594E+03,1.938907E+02,1.009573E-01,5.796650E-02,5.086483E+03,4.708780E+02,1.180643E-01,1.091134E-01,7.621854E+03,8.863584E+02,5.998135E-02,5.455672E-02,3.836680E+03,4.431794E+02 
01:15:00,1.872915E-01,9.888403E-02,9.085814E+03,7.926303E+02,5.305900E-02,2.386858E-02,2.406126E+03,1.913247E+02,1.407754E-01,7.501551E-02,6.857204E+03,6.013061E+02,6.360549E-02,3.409796E-02,3.106511E+03,2.733210E+02,5.642564E-02,2.386853E-02,2.497465E+03,1.913243E+02,1.010372E-01,5.796650E-02,5.088651E+03,4.646454E+02,1.181991E-01,1.091134E-01,7.625512E+03,8.746266E+02,6.005078E-02,5.455672E-02,3.838564E+03,4.373134E+02 
01:30:00,1.874150E-01,9.888403E-02,9.089163E+03,7.819983E+02,5.308894E-02,2.386858E-02,2.406939E+03,1.887584E+02,1.408678E-01,7.501551E-02,6.859713E+03,5.932405E+02,6.364724E-02,3.409796E-02,3.107644E+03,2.696548E+02,5.645521E-02,2.386853E-02,2.498267E+03,1.887580E+02,1.011109E-01,5.796650E-02,5.090652E+03,4.584129E+02,1.183234E-01,1.091134E-01,7.628885E+03,8.628947E+02,6.011495E-02,5.455672E-02,3.840305E+03,4.314475E+02 
01:45:00,1.875299E-01,9.888403E-02,9.092283E+03,7.713663E+02,5.311681E-02,2.386858E-02,2.407695E+03,1.861920E+02,1.409539E-01,7.501551E-02,6.862050E+03,5.851748E+02,6.368612E-02,3.409796E-02,3.108699E+03,2.659886E+02,5.648273E-02,2.386853E-02,2.499014E+03,1.861916E+02,1.011797E-01,5.796650E-02,5.092516E+03,4.521803E+02,1.184391E-01,1.091134E-01,7.632025E+03,8.511629E+02,6.017481E-02,5.455672E-02,3.841930E+03,4.255816E+02 
02:00:00,1.876374E-01,9.888403E-02,9.095199E+03,7.607343E+02,5.314282E-02,2.386858E-02,2.408401E+03,1.836257E+02,1.410344E-01,7.501551E-02,6.864234E+03,5.771092E+02,6.372244E-02,3.409796E-02,3.109685E+03,2.623223E+02,5.650842E-02,2.386853E-02,2.499711E+03,1.836253E+02,1.012439E-01,5.796650E-02,5.094259E+03,4.459478E+02,1.185472E-01,1.091134E-01,7.634958E+03,8.394310E+02,6.023087E-02,5.455672E-02,3.843451E+03,4.197156E+02 
02:15:00,1.877421E-01,9.888403E-02,9.098041E+03,7.527604E+02,5.316813E-02,2.386858E-02,2.409088E+03,1.817009E+02,1.411129E-01,7.501551E-02,6.866363E+03,5.710599E+02,6.375785E-02,3.409796E-02,3.110645E+03,2.595727E+02,5.653340E-02,2.386853E-02,2.500389E+03,1.817005E+02,1.013065E-01,5.796650E-02,5.095958E+03,4.412733E+02,1.186528E-01,1.091134E-01,7.637822E+03,8.306321E+02,6.028569E-02,5.455672E-02,3.844938E+03,4.153162E+02 
02:30:00,1.878436E-01,9.888403E-02,9.100795E+03,7.447864E+02,5.319263E-02,2.386858E-02,2.409752E+03,1.797762E+02,1.411890E-01,7.501551E-02,6.868427E+03,5.650107E+02,6.379217E-02,3.409796E-02,3.111577E+03,2.568230E+02,5.655756E-02,2.386853E-02,2.501044E+03,1.797758E+02,1.013672E-01,5.796650E-02,5.097605E+03,4.365989E+02,1.187553E-01,1.091134E-01,7.640604E+03,8.218332E+02,6.033907E-02,5.455672E-02,3.846386E+03,4.109167E+02 
